item_id,features
1,"fjallraven - foldsack no. 1 backpack, fits 15 laptops men's clothing your perfect pack for everyday use and walks in the forest. stash your laptop (up to 15 inches) in the padded sleeve, your everyday"
2,"mens casual premium slim fit t-shirts  men's clothing slim-fitting style, contrast raglan long sleeve, three-button henley placket, light weight & soft fabric for breathable and comfortable wearing. and solid stitched shirts with round neck made for durability and a great fit for casual fashion wear and diehard baseball fans. the henley style round neckline includes a three-button placket."
3,"mens cotton jacket men's clothing great outerwear jackets for spring/autumn/winter, suitable for many occasions, such as working, hiking, camping, mountain/rock climbing, cycling, traveling or other outdoors. good gift choice for you or your family member. a warm hearted love to father, husband or son in this thanksgiving or christmas day."
4,"mens casual slim fit men's clothing the color could be slightly different between on the screen and in practice. / please note that body builds vary by person, therefore, detailed size information should be reviewed below on the product description."
5,"john hardy women's legends naga gold & silver dragon station chain bracelet jewelery from our legends collection, the naga was inspired by the mythical water dragon that protects the ocean's pearl. wear facing inward to be bestowed with love and abundance, or outward for protection."
6,solid gold petite micropave  jewelery satisfaction guaranteed. return or exchange any order within 30 days.designed and sold by hafeez center in the united states. satisfaction guaranteed. return or exchange any order within 30 days.
7,"white gold plated princess jewelery classic created wedding engagement solitaire diamond promise ring for her. gifts to spoil your love more for engagement, wedding, anniversary, valentine's day..."
8,pierced owl rose gold plated stainless steel double jewelery rose gold plated double flared tunnel plug earrings. made of 316l stainless steel
9,"wd 2tb elements portable external hard drive - usb 3.0  electronics usb 3.0 and usb 2.0 compatibility fast data transfers improve pc performance high capacity; compatibility formatted ntfs for windows 10, windows 8.1, windows 7; reformatting may be required for other operating systems; compatibility may vary depending on user’s hardware configuration and operating system"
10,"sandisk ssd plus 1tb internal ssd - sata iii 6 gb/s electronics easy upgrade for faster boot up, shutdown, application load and response (as compared to 5400 rpm sata 2.5” hard drive; based on published specifications and internal benchmarking tests using pcmark vantage scores) boosts burst write performance, making it ideal for typical pc workloads the perfect balance of performance and reliability read/write speeds of up to 535mb/s/450mb/s (based on internal testing; performance may vary depending upon drive capacity, host device, os and application.)"
11,"silicon power 256gb ssd 3d nand a55 slc cache performance boost sata iii 2.5 electronics 3d nand flash are applied to deliver high transfer speeds remarkable transfer speeds that enable faster bootup and improved overall system performance. the advanced slc cache technology allows performance boost and longer lifespan 7mm slim design suitable for ultrabooks and ultra-slim notebooks. supports trim command, garbage collection technology, raid, and ecc (error checking & correction) to provide the optimized performance and enhanced reliability."
12,"wd 4tb gaming drive works with playstation 4 portable external hard drive electronics expand your ps4 gaming experience, play anywhere fast and easy, setup sleek design with high capacity, 3-year manufacturer's limited warranty"
13,acer sb220q bi 21.5 inches full hd (1920 x 1080) ips ultra-thin electronics 21. 5 inches full hd (1920 x 1080) widescreen ips display and radeon free sync technology. no compatibility for vesa mount refresh rate: 75hz - using hdmi port zero-frame design | ultra-thin | 4ms response time | ips panel aspect ratio - 16: 9. color supported - 16. 7 million colors. brightness - 250 nit tilt angle -5 degree to 15 degree. horizontal viewing angle-178 degree. vertical viewing angle-178 degree 75 hertz
14,"samsung 49-inch chg90 144hz curved gaming monitor (lc49hg90dmnxza) – super ultrawide screen qled  electronics 49 inch super ultrawide 32:9 curved gaming monitor with dual 27 inch screen side by side quantum dot (qled) technology, hdr support and factory calibration provides stunningly realistic and accurate color and contrast 144hz high refresh rate and 1ms ultra fast response time work to eliminate motion blur, ghosting, and reduce input lag"
15,"biylaclesen women's 3-in-1 snowboard jacket winter coats women's clothing note:the jackets is us standard size, please choose size as your usual wear material: 100% polyester; detachable liner fabric: warm fleece. detachable functional liner: skin friendly, lightweigt and warm.stand collar liner jacket, keep you warm in cold weather. zippered pockets: 2 zippered hand pockets, 2 zippered pockets on chest (enough to keep cards or keys)and 1 hidden pocket inside.zippered hand pockets and hidden pocket keep your things secure. humanized design: adjustable and detachable hood and adjustable cuff to prevent the wind and water,for a comfortable fit. 3 in 1 detachable design provide more convenience, you can separate the coat and inner as needed, or wear it together. it is suitable for different season and help you adapt to different climates"
16,"lock and love women's removable hooded faux leather moto biker jacket women's clothing 100% polyurethane(shell) 100% polyester(lining) 75% polyester 25% cotton (sweater), faux leather material for style and comfort / 2 pockets of front, 2-for-one hooded denim style faux leather jacket, button detail on waist / detail stitching at sides, hand wash only / do not bleach / line dry / do not iron"
17,"rain jacket women windbreaker striped climbing raincoats women's clothing lightweight perfet for trip or casual wear---long sleeve with hooded, adjustable drawstring waist design. button and zipper front closure raincoat, fully stripes lined and the raincoat has 2 side pockets are a good size to hold all kinds of things, it covers the hips, and the hood is generous but doesn't overdo it.attached cotton lined hood with adjustable drawstrings give it a real styled look."
18,"mbj women's solid short sleeve boat neck v  women's clothing 95% rayon 5% spandex, made in usa or imported, do not bleach, lightweight fabric with great stretch for comfort, ribbed on sleeves and neckline / double stitching on bottom hem"
19,"opna women's short sleeve moisture women's clothing 100% polyester, machine wash, 100% cationic polyester interlock, machine wash & pre shrunk for a great fit, lightweight, roomy and highly breathable with moisture wicking fabric which helps to keep moisture away, soft lightweight fabric with comfortable v-neck collar and a slimmer fit, delivers a sleek, more feminine silhouette and added comfort"
20,"danvouy womens t shirt casual cotton short women's clothing 95%cotton,5%spandex, features: casual, short sleeve, letter print,v-neck,fashion tees, the fabric is soft and has some stretch., occasion: casual/office/beach/school/home/street. season: spring,summer,autumn,winter."
